,year_film,year_ceremony,ceremony,category,film,winner,name
0,1927,1928,1,actor,The Noose,False,Richard Barthelmess
1,1927,1928,1,actor,The Last Command,True,Emil Jannings
2,1927,1928,1,actress,A Ship Comes In,False,Louise Dresser
3,1927,1928,1,actress,7th Heaven,True,Janet Gaynor
4,1927,1928,1,actress,Sadie Thompson,False,Gloria Swanson
5,1927,1928,1,art direction,Sunrise,False,Rochus Gliese
6,1927,1928,1,art direction,The Dove,True,William Cameron Menzies
7,1927,1928,1,art direction,7th Heaven,False,Harry Oliver
8,1927,1928,1,cinematography,The Devil Dancer,False,George Barnes
9,1927,1928,1,cinematography,Sunrise,True,Charles Rosher
10,1927,1928,1,cinematography,Sunrise,True,Karl Struss
11,1927,1928,1,directing (comedy picture),Two Arabian Knights,True,Lewis Milestone
12,1927,1928,1,directing (comedy picture),Speedy,False,Ted Wilde
13,1927,1928,1,directing (dramatic picture),7th Heaven,True,Frank Borzage
14,1927,1928,1,directing (dramatic picture),Sorrell and Son,False,Herbert Brenon
15,1927,1928,1,directing (dramatic picture),The Crowd,False,King Vidor
16,1927,1928,1,engineering effects,Wings,True,Roy Pomeroy
17,1927,1928,1,outstanding picture,The Racket,False,The Caddo Company
18,1927,1928,1,outstanding picture,7th Heaven,False,Fox
19,1927,1928,1,outstanding picture,Wings,True,Paramount Famous Lasky
20,1927,1928,1,unique and artistic picture,Sunrise,True,Fox
21,1927,1928,1,unique and artistic picture,The Crowd,False,Metro-Goldwyn-Mayer
22,1927,1928,1,unique and artistic picture,Chang,False,Paramount Famous Lasky
23,1927,1928,1,writing (adaptation),The Jazz Singer,False,Alfred Cohn
24,1927,1928,1,writing (adaptation),Glorious Betsy,False,Anthony Coldeway
25,1927,1928,1,writing (adaptation),7th Heaven,True,Benjamin Glazer
26,1927,1928,1,writing (original story),The Last Command,False,Lajos Biro
27,1927,1928,1,writing (original story),Underworld,True,Ben Hecht
28,1927,1928,1,writing (title writing),The Private Life of Helen of Troy,False,Gerald Duffy
29,1928,1929,2,actor,Thunderbolt,False,George Bancroft
30,1928,1929,2,actor,In Old Arizona,True,Warner Baxter
31,1928,1929,2,actor,Alibi,False,Chester Morris
32,1928,1929,2,actor,The Valiant,False,Paul Muni
33,1928,1929,2,actor,The Patriot,False,Lewis Stone
34,1928,1929,2,actress,Madame X,False,Ruth Chatterton
35,1928,1929,2,actress,The Barker,False,Betty Compson
36,1928,1929,2,actress,The Letter,False,Jeanne Eagels
37,1928,1929,2,actress,The Divine Lady,False,Corinne Griffith
38,1928,1929,2,actress,The Broadway Melody,False,Bessie Love
39,1928,1929,2,actress,Coquette,True,Mary Pickford
40,1928,1929,2,art direction,The Patriot,False,Hans Dreier
41,1928,1929,2,art direction,The Bridge of San Luis Rey,True,Cedric Gibbons
42,1928,1929,2,art direction,Dynamite,False,Mitchell Leisen
